,loan_status
23643,fully_paid
25963,default
16611,default
5595,fully_paid
10991,fully_paid
24925,default
21308,default
22561,default
711,default
7703,default
17439,default
20268,fully_paid
3968,default
16691,fully_paid
1141,fully_paid
12811,default
12480,default
26363,fully_paid
22506,fully_paid
13834,default
14860,default
18075,fully_paid
19516,default
11400,default
19020,default
1392,default
12761,fully_paid
13955,default
11972,fully_paid
18105,default
21615,default
21661,default
16795,fully_paid
26219,fully_paid
21676,default
15309,fully_paid
20475,default
21751,fully_paid
24319,fully_paid
11336,default
9093,default
6939,fully_paid
6137,default
7864,fully_paid
16229,fully_paid
21117,fully_paid
9430,default
7754,fully_paid
5088,default
837,fully_paid
4418,fully_paid
17119,fully_paid
25520,fully_paid
10821,default
20113,fully_paid
3817,fully_paid
1634,default
19855,fully_paid
7904,fully_paid
19501,default
15648,fully_paid
24118,default
9566,default
18965,fully_paid
8988,default
13918,fully_paid
838,fully_paid
4055,fully_paid
20328,default
4523,fully_paid
22242,default
5904,fully_paid
25397,fully_paid
13443,fully_paid
9515,fully_paid
24986,default
24239,default
939,fully_paid
24813,default
14846,fully_paid
9404,fully_paid
19229,fully_paid
26322,fully_paid
17472,default
11796,fully_paid
11224,fully_paid
14170,fully_paid
26309,default
9983,fully_paid
23627,fully_paid
23815,fully_paid
5843,fully_paid
3180,default
8629,default
24012,default
19986,fully_paid
2726,fully_paid
8636,fully_paid
18760,fully_paid
18979,default
17821,fully_paid
20950,fully_paid
18069,fully_paid
544,fully_paid
733,fully_paid
17228,default
4120,default
13089,default
956,fully_paid
11946,fully_paid
13570,fully_paid
10554,default
3789,default
11806,fully_paid
20014,fully_paid
15707,default
23542,fully_paid
23772,fully_paid
6085,fully_paid
4613,default
2112,default
20364,default
20985,fully_paid
24192,default
18257,fully_paid
3654,fully_paid
2702,fully_paid
24784,fully_paid
5290,fully_paid
23544,fully_paid
7334,default
20396,fully_paid
10035,fully_paid
6902,default
3272,default
6793,default
15847,default
11522,default
18464,fully_paid
9776,default
11875,fully_paid
5839,fully_paid
22453,default
22023,default
7348,default
17944,default
15629,default
23830,fully_paid
25131,default
597,fully_paid
7366,fully_paid
21336,default
6712,fully_paid
4130,default
8489,default
17867,fully_paid
12048,fully_paid
8151,fully_paid
17502,default
23018,fully_paid
10827,fully_paid
444,default
15167,fully_paid
26012,default
13523,default
12299,fully_paid
1173,fully_paid
23637,fully_paid
9297,default
13413,default
13191,fully_paid
5086,default
218,default
5137,fully_paid
24540,default
5152,fully_paid
10533,fully_paid
11298,fully_paid
18177,default
21048,fully_paid
22077,fully_paid
20556,default
10451,fully_paid
4435,fully_paid
23597,fully_paid
22275,fully_paid
18218,default
4346,default
26148,fully_paid
9046,fully_paid
9336,default
1178,fully_paid
12628,fully_paid
26049,default
4178,fully_paid
5383,fully_paid
12922,fully_paid
15920,fully_paid
23508,fully_paid
7198,fully_paid
2926,default
19505,default
20343,default
24444,default
2195,default
1237,default
9827,default
16342,default
4903,fully_paid
14441,default
7245,fully_paid
721,default
19097,default
14747,default
19599,fully_paid
8325,default
21425,default
23644,fully_paid
3610,default
14193,default
10616,fully_paid
11502,fully_paid
19053,fully_paid
944,default
17031,fully_paid
10917,default
18845,default
13805,fully_paid
13966,fully_paid
680,fully_paid
4819,default
15882,fully_paid
26057,fully_paid
8863,fully_paid
13564,default
5379,default
8503,default
12755,default
21520,fully_paid
7954,default
3981,fully_paid
2545,default
5173,default
11597,fully_paid
18593,fully_paid
22212,fully_paid
13286,default
4432,default
14323,default
19979,default
7154,fully_paid
4921,fully_paid
17096,fully_paid
14546,default
1765,default
7898,fully_paid
16098,default
8203,default
24729,default
9559,default
8765,fully_paid
3364,default
4153,fully_paid
1374,fully_paid
1085,default
7370,fully_paid
11385,default
13066,fully_paid
21588,default
25005,default
6845,default
15537,default
202,default
6594,default
18174,default
8943,default
15179,fully_paid
26244,fully_paid
2026,fully_paid
17784,default
2560,fully_paid
18647,default
16140,default
3177,default
